date,pm25
2020-09-09T00:00:00.000Z,4.05
2020-09-10T00:00:00.000Z,4.9
2020-09-11T00:00:00.000Z,8.98
2020-09-12T00:00:00.000Z,8.15
2020-09-13T00:00:00.000Z,9.48
2020-09-14T00:00:00.000Z,10.3
2020-09-15T00:00:00.000Z,10.0
2020-09-16T00:00:00.000Z,13.24
2020-09-17T00:00:00.000Z,12.15
2020-09-18T00:00:00.000Z,9.88
2020-09-19T00:00:00.000Z,6.47
2020-09-20T00:00:00.000Z,7.37
2020-09-21T00:00:00.000Z,8.6
2020-09-22T00:00:00.000Z,10.52
2020-09-23T00:00:00.000Z,1.52
2020-09-24T00:00:00.000Z,1.77
2020-09-25T00:00:00.000Z,1.7
2020-09-26T00:00:00.000Z,0.5
2020-09-27T00:00:00.000Z,0.8
2020-09-28T00:00:00.000Z,0.9
2020-09-29T00:00:00.000Z,1.9
2020-09-30T00:00:00.000Z,2.42
2020-10-01T00:00:00.000Z,2.46
2020-10-02T00:00:00.000Z,3.1
2020-10-03T00:00:00.000Z,0.9
2020-10-04T00:00:00.000Z,0.9
2020-10-05T00:00:00.000Z,1.0
2020-10-06T00:00:00.000Z,1.48
2020-10-07T00:00:00.000Z,7.18
2020-10-08T00:00:00.000Z,2.4
2020-10-09T00:00:00.000Z,21.19
2020-10-10T00:00:00.000Z,13.93
2020-10-11T00:00:00.000Z,1.87
2020-10-12T00:00:00.000Z,2.2
2020-10-13T00:00:00.000Z,1.73
2020-10-14T00:00:00.000Z,3.58
2020-10-15T00:00:00.000Z,8.72
2020-10-16T00:00:00.000Z,6.68
2020-10-17T00:00:00.000Z,4.15
2020-10-18T00:00:00.000Z,6.65
2020-10-19T00:00:00.000Z,12.93
2020-10-20T00:00:00.000Z,13.3
2020-10-21T00:00:00.000Z,18.72
2020-10-22T00:00:00.000Z,29.25
2020-10-23T00:00:00.000Z,84.82
2020-10-24T00:00:00.000Z,67.15
2020-10-25T00:00:00.000Z,18.1
2020-10-26T00:00:00.000Z,1.5
2020-10-27T00:00:00.000Z,1.3
2020-10-28T00:00:00.000Z,3.6
2020-10-29T00:00:00.000Z,3.19
2020-10-30T00:00:00.000Z,10.19
2020-10-31T00:00:00.000Z,25.5
2020-11-01T00:00:00.000Z,29.77
2020-11-02T00:00:00.000Z,45.52
2020-11-03T00:00:00.000Z,63.63
2020-11-04T00:00:00.000Z,54.0
2020-11-05T00:00:00.000Z,8.5
2020-11-06T00:00:00.000Z,7.25
2020-11-07T00:00:00.000Z,19.09
2020-11-08T00:00:00.000Z,29.04
2020-11-09T00:00:00.000Z,15.93
2020-11-10T00:00:00.000Z,35.07
2020-11-11T00:00:00.000Z,65.43
2020-11-12T00:00:00.000Z,39.69
2020-11-13T00:00:00.000Z,48.58
2020-11-14T00:00:00.000Z,82.68
2020-11-15T00:00:00.000Z,53.5
2020-11-16T00:00:00.000Z,44.97
2020-11-17T00:00:00.000Z,21.97
2020-11-18T00:00:00.000Z,19.95
2020-11-19T00:00:00.000Z,16.7
2020-11-20T00:00:00.000Z,4.69
2020-11-21T00:00:00.000Z,1.82
2020-11-22T00:00:00.000Z,3.97
2020-11-23T00:00:00.000Z,4.59
